2013020322, MIN, v
2013020322, OTT, h
2013020323, PIT, v
2013020323, WSH, h
2013020324, CBJ, v
2013020324, CGY, h
2013020325, NJD, v
2013020325, ANA, h
2013020326, STL, v
2013020326, BOS, h
2013020327, NSH, v
2013020327, TOR, h
2013020328, BUF, v
2013020328, PHI, h
2013020329, CAR, v
2013020329, DET, h
2013020330, CHI, v
2013020330, WPG, h
2013020331, NYR, v
2013020331, DAL, h
2013020332, COL, v
2013020332, PHX, h
2013020333, FLA, v
2013020333, EDM, h
2013020334, NJD, v
2013020334, LAK, h
2013020335, TBL, v
2013020335, SJS, h
2013020336, NYI, v
2013020336, PIT, h
2013020337, MTL, v
2013020337, WSH, h
2013020338, FLA, v
2013020338, CGY, h
2013020339, CBJ, v
2013020339, VAN, h
2013020340, TBL, v
2013020340, ANA, h
2013020341, CAR, v
2013020341, BOS, h
2013020342, MIN, v
2013020342, WPG, h
2013020343, WSH, v
2013020343, TOR, h
2013020344, PIT, v
2013020344, MTL, h
2013020345, OTT, v
2013020345, DET, h
2013020346, NYI, v
2013020346, PHI, h
2013020347, DAL, v
2013020347, STL, h
2013020348, NYR, v
2013020348, NSH, h
2013020349, ANA, v
2013020349, PHX, h
2013020350, CHI, v
2013020350, VAN, h
2013020351, COL, v
2013020351, LAK, h
2013020352, NJD, v
2013020352, SJS, h
2013020353, DET, v
2013020353, BUF, h
2013020354, OTT, v
2013020354, CAR, h
2013020355, PIT, v
2013020355, BOS, h
2013020356, CBJ, v
2013020356, TOR, h
2013020357, WPG, v
2013020357, NJD, h
2013020358, NYR, v
2013020358, TBL, h
2013020359, PHI, v
2013020359, FLA, h
2013020360, MIN, v
2013020360, STL, h
2013020361, PHX, v
2013020361, NSH, h
2013020362, CHI, v
2013020362, EDM, h
2013020363, LAK, v
2013020363, VAN, h
2013020364, ANA, v
2013020364, DAL, h
2013020365, MTL, v
2013020365, BUF, h
2013020366, CAR, v
2013020366, NJD, h
2013020367, WPG, v
2013020367, NYI, h
2013020368, OTT, v
2013020368, WSH, h
2013020369, NSH, v
2013020369, CBJ, h
2013020370, BOS, v
2013020370, DET, h
2013020371, PHI, v
2013020371, TBL, h
2013020372, NYR, v
2013020372, FLA, h
2013020373, TOR, v
2013020373, PIT, h
2013020374, PHX, v
2013020374, MIN, h
2013020375, STL, v
2013020375, COL, h
2013020376, CHI, v
2013020376, CGY, h
2013020377, LAK, v
2013020377, SJS, h
2013020378, VAN, v
2013020378, OTT, h
2013020379, EDM, v
2013020379, NSH, h
2013020380, WPG, v
2013020380, PHI, h
2013020381, NYR, v
2013020381, BOS, h
2013020382, PIT, v
2013020382, TBL, h
2013020383, DET, v
2013020383, NYI, h
2013020384, CGY, v
2013020384, ANA, h
2013020385, STL, v
2013020385, SJS, h
2013020386, MTL, v
2013020386, WSH, h
2013020387, COL, v
2013020387, MIN, h
2013020388, NJD, v
2013020388, CAR, h
2013020389, EDM, v
2013020389, CBJ, h
2013020390, TOR, v
2013020390, BUF, h
2013020391, CHI, v
2013020391, DAL, h
2013020392, VAN, v
2013020392, NYR, h
2013020393, CBJ, v
2013020393, BOS, h
2013020394, TOR, v
2013020394, MTL, h
2013020395, PIT, v
2013020395, FLA, h
2013020396, BUF, v
2013020396, NJD, h
2013020397, WSH, v
2013020397, NYI, h
2013020398, PHI, v
2013020398, NSH, h
2013020399, CHI, v
2013020399, PHX, h
2013020400, MIN, v
2013020400, COL, h
2013020401, CGY, v
2013020401, LAK, h
2013020402, ANA, v
2013020402, SJS, h
2013020403, VAN, v
2013020403, CAR, h
2013020404, DET, v
2013020404, OTT, h
2013020405, EDM, v
2013020405, DAL, h
2013020406, WPG, v
2013020406, NYR, h
2013020407, NJD, v
2013020407, MTL, h
2013020408, PHI, v
2013020408, MIN, h
2013020409, STL, v
2013020409, LAK, h
2013020410, SJS, v
2013020410, TOR, h
2013020411, PIT, v
2013020411, NYI, h
2013020412, CAR, v
2013020412, WSH, h
2013020413, TBL, v
2013020413, CBJ, h
2013020414, OTT, v
2013020414, FLA, h
2013020415, DAL, v
2013020415, CHI, h
2013020416, VAN, v
2013020416, NSH, h
2013020417, PHX, v
2013020417, EDM, h
2013020418, LAK, v
2013020418, ANA, h
2013020419, MTL, v
2013020419, NJD, h
2013020420, PHI, v
2013020420, DET, h
2013020421, PHX, v
2013020421, CGY, h
2013020422, NYR, v
2013020422, BUF, h
2013020423, DAL, v
2013020423, TOR, h
2013020424, SJS, v
2013020424, PIT, h
2013020425, BOS, v
2013020425, MTL, h
2013020426, OTT, v
2013020426, TBL, h
2013020427, WPG, v
2013020427, FLA, h
2013020428, NYI, v
2013020428, STL, h
2013020429, CAR, v
2013020429, NSH, h
2013020430, CHI, v
2013020430, MIN, h
2013020431, COL, v
2013020431, EDM, h
2013020432, DET, v
2013020432, NJD, h
2013020433, SJS, v
2013020433, CAR, h
2013020434, MIN, v
2013020434, CBJ, h
2013020435, ANA, v
2013020435, CHI, h
2013020436, COL, v
2013020436, CGY, h
2013020437, PHX, v
2013020437, VAN, h
2013020438, PHI, v
2013020438, DAL, h
2013020439, PIT, v
2013020439, BOS, h
2013020440, BUF, v
2013020440, MTL, h
2013020441, TOR, v
2013020441, OTT, h
2013020442, FLA, v
2013020442, DET, h
2013020443, WPG, v
2013020443, TBL, h
2013020444, NSH, v
2013020444, WSH, h
2013020445, NJD, v
2013020445, NYR, h
2013020446, ANA, v
2013020446, STL, h
2013020447, CGY, v
2013020447, EDM, h
2013020448, NYI, v
2013020448, LAK, h
2013020449, SJS, v
2013020449, MIN, h
2013020450, BOS, v
2013020450, TOR, h
2013020451, WSH, v
2013020451, NYR, h
2013020452, FLA, v
2013020452, CHI, h
2013020453, COL, v
2013020453, VAN, h
2013020454, PHI, v
2013020454, OTT, h
2013020455, CBJ, v
2013020455, PIT, h
2013020456, CAR, v
2013020456, VAN, h
2013020457, NYI, v
2013020457, ANA, h
2013020458, OTT, v
2013020458, BUF, h
2013020459, TBL, v
2013020459, WSH, h
2013020460, NJD, v
2013020460, CBJ, h
2013020461, LAK, v
2013020461, MTL, h
2013020462, DET, v
2013020462, FLA, h
2013020463, NSH, v
2013020463, NYR, h
2013020464, STL, v
2013020464, WPG, h
2013020465, CHI, v
2013020465, DAL, h
2013020466, PHX, v
2013020466, COL, h
2013020467, BOS, v
2013020467, CGY, h
2013020468, CAR, v
2013020468, EDM, h
2013020469, NYI, v
2013020469, SJS, h
2013020470, LAK, v
2013020470, TOR, h
2013020471, PHI, v
2013020471, CHI, h
2013020472, MIN, v
2013020472, ANA, h
2013020473, CBJ, v
2013020473, NYR, h
2013020474, MTL, v
2013020474, PHI, h
2013020475, BUF, v
2013020475, OTT, h
2013020476, DET, v
2013020476, TBL, h
2013020477, TOR, v
2013020477, STL, h
2013020478, DAL, v
2013020478, NSH, h
2013020479, COL, v
2013020479, WPG, h
2013020480, CAR, v
2013020480, CGY, h
2013020481, NYI, v
2013020481, PHX, h
2013020482, BOS, v
2013020482, EDM, h
2013020483, MIN, v
2013020483, SJS, h
2013020484, NJD, v
2013020484, PIT, h
2013020485, WSH, v
2013020485, FLA, h
2013020486, EDM, v
2013020486, VAN, h
2013020487, CGY, v
2013020487, BUF, h
2013020488, LAK, v
2013020488, OTT, h
2013020489, DAL, v
2013020489, WPG, h
2013020490, CHI, v
2013020490, TOR, h
2013020491, PIT, v
2013020491, DET, h
2013020492, TBL, v
2013020492, NJD, h
2013020493, MTL, v
2013020493, NYI, h
2013020494, STL, v
2013020494, CBJ, h
2013020495, SJS, v
2013020495, NSH, h
2013020496, CAR, v
2013020496, PHX, h
2013020497, MIN, v
2013020497, COL, h
2013020498, BOS, v
2013020498, VAN, h
2013020499, PHI, v
2013020499, WSH, h
2013020500, TBL, v
2013020500, DET, h
2013020501, FLA, v
2013020501, MTL, h
2013020502, CGY, v
2013020502, NYR, h
2013020503, LAK, v
2013020503, CHI, h
2013020504, EDM, v
2013020504, ANA, h
2013020505, TOR, v
2013020505, PIT, h
2013020506, WPG, v
2013020506, CBJ, h
2013020507, STL, v
2013020507, OTT, h
2013020508, DAL, v
2013020508, COL, h
2013020509, CGY, v
2013020509, BOS, h
2013020510, WPG, v
2013020510, BUF, h
2013020511, FLA, v
2013020511, TOR, h
2013020512, TBL, v
2013020512, NYI, h
2013020513, PHX, v
2013020513, MTL, h
2013020514, ANA, v
2013020514, DET, h
2013020515, WSH, v
2013020515, PHI, h
2013020516, SJS, v
2013020516, STL, h
2013020517, CHI, v
2013020517, NSH, h
2013020518, VAN, v
2013020518, MIN, h
2013020519, COL, v
2013020519, DAL, h
2013020520, EDM, v
2013020520, LAK, h
2013020521, OTT, v
2013020521, NJD, h
2013020522, PIT, v
2013020522, NYR, h
2013020523, BOS, v
2013020523, BUF, h
2013020524, PHX, v
2013020524, TOR, h
2013020525, CBJ, v
2013020525, PHI, h
2013020526, MIN, v
2013020526, PIT, h
2013020527, FLA, v
2013020527, OTT, h
2013020528, CGY, v
2013020528, DET, h
2013020529, NSH, v
2013020529, TBL, h
2013020530, MTL, v
2013020530, STL, h
2013020531, VAN, v
2013020531, DAL, h
2013020532, EDM, v
2013020532, COL, h
2013020533, SJS, v
2013020533, LAK, h
2013020534, ANA, v
2013020534, NJD, h
2013020535, NYI, v
2013020535, NYR, h
2013020536, WSH, v
2013020536, CAR, h
2013020537, VAN, v
2013020537, CHI, h
2013020538, FLA, v
2013020538, WPG, h
2013020539, CGY, v
2013020539, PIT, h
2013020540, PHX, v
2013020540, OTT, h
2013020541, COL, v
2013020541, LAK, h
2013020542, BUF, v
2013020542, BOS, h
2013020543, DET, v
2013020543, TOR, h
2013020544, CAR, v
2013020544, TBL, h
2013020545, ANA, v
2013020545, NYI, h
2013020546, NJD, v
2013020546, WSH, h
2013020547, PHI, v
2013020547, CBJ, h
2013020548, MTL, v
2013020548, NSH, h
2013020549, STL, v
2013020549, EDM, h
2013020550, DAL, v
2013020550, SJS, h
2013020551, MIN, v
2013020551, NYR, h
2013020552, WPG, v
2013020552, VAN, h
2013020553, PHX, v
2013020553, BUF, h
2013020554, TOR, v
2013020554, NYR, h
2013020555, ANA, v
2013020555, WSH, h
2013020556, CBJ, v
2013020556, CAR, h
2013020557, PIT, v
2013020557, OTT, h
2013020558, NYI, v
2013020558, DET, h
2013020559, TBL, v
2013020559, FLA, h
2013020560, MIN, v
2013020560, PHI, h
2013020561, NJD, v
2013020561, CHI, h
2013020562, BOS, v
2013020562, NSH, h
2013020563, STL, v
2013020563, CGY, h
2013020564, WPG, v
2013020564, EDM, h
2013020565, DAL, v
2013020565, LAK, h
2013020566, COL, v
2013020566, SJS, h
2013020567, OTT, v
2013020567, BOS, h
2013020568, CBJ, v
2013020568, NJD, h
2013020569, NYR, v
2013020569, WSH, h
2013020570, PIT, v
2013020570, CAR, h
2013020571, BUF, v
2013020571, TOR, h
2013020572, COL, v
2013020572, CHI, h
2013020573, MIN, v
2013020573, WPG, h
2013020574, NSH, v
2013020574, DAL, h
2013020575, EDM, v
2013020575, CGY, h
2013020576, SJS, v
2013020576, PHX, h
2013020577, BOS, v
2013020577, OTT, h
2013020578, MTL, v
2013020578, TBL, h
2013020579, DET, v
2013020579, FLA, h
2013020580, NJD, v
2013020580, NYI, h
2013020581, CHI, v
2013020581, STL, h
2013020582, LAK, v
2013020582, NSH, h
2013020583, PHX, v
2013020583, ANA, h
2013020584, PHI, v
2013020584, EDM, h
2013020585, WSH, v
2013020585, BUF, h
2013020586, MTL, v
2013020586, FLA, h
2013020587, PIT, v
2013020587, CBJ, h
2013020588, STL, v
2013020588, DAL, h
2013020589, CAR, v
2013020589, TOR, h
2013020590, NYR, v
2013020590, TBL, h
2013020591, VAN, v
2013020591, CGY, h
2013020592, NYI, v
2013020592, MIN, h
2013020593, WPG, v
2013020593, COL, h
2013020594, ANA, v
2013020594, SJS, h
2013020595, WSH, v
2013020595, OTT, h
2013020596, LAK, v
2013020596, CHI, h
2013020597, DET, v
2013020597, NSH, h
2013020598, PHI, v
2013020598, VAN, h
2013020599, PIT, v
2013020599, NJD, h
2013020600, NYR, v
2013020600, FLA, h
2013020601, STL, v
2013020601, MIN, h
2013020602, NYI, v
2013020602, BOS, h
2013020603, MTL, v
2013020603, CAR, h
2013020604, BUF, v
2013020604, WPG, h
2013020605, LAK, v
2013020605, DAL, h
2013020606, CBJ, v
2013020606, COL, h
2013020607, SJS, v
2013020607, ANA, h
2013020608, PHI, v
2013020608, CGY, h
2013020609, EDM, v
2013020609, PHX, h
2013020610, TOR, v
2013020610, DET, h
2013020611, TBL, v
2013020611, VAN, h
2013020612, NSH, v
2013020612, BOS, h
2013020613, CHI, v
2013020613, NYI, h
2013020614, CAR, v
2013020614, WSH, h
2013020615, WPG, v
2013020615, OTT, h
2013020616, LAK, v
2013020616, STL, h
2013020617, BUF, v
2013020617, MIN, h
2013020618, MTL, v
2013020618, DAL, h
2013020619, PHI, v
2013020619, COL, h
2013020620, CBJ, v
2013020620, PHX, h
2013020621, EDM, v
2013020621, SJS, h
2013020622, CHI, v
2013020622, NJD, h
2013020623, NYR, v
2013020623, PIT, h
2013020624, TBL, v
2013020624, CGY, h
2013020625, EDM, v
2013020625, ANA, h
2013020626, WPG, v
2013020626, BOS, h
2013020627, SJS, v
2013020627, COL, h
2013020628, NJD, v
2013020628, BUF, h
2013020629, NYR, v
2013020629, TOR, h
2013020630, OTT, v
2013020630, MTL, h
2013020631, NSH, v
2013020631, FLA, h
2013020632, CAR, v
2013020632, NYI, h
2013020633, CBJ, v
2013020633, STL, h
2013020634, DET, v
2013020634, DAL, h
2013020635, WSH, v
2013020635, MIN, h
2013020636, PHI, v
2013020636, PHX, h
2013020637, VAN, v
2013020637, LAK, h
2013020638, WPG, v
2013020638, PIT, h
2013020639, NSH, v
2013020639, CAR, h
2013020640, SJS, v
2013020640, CHI, h
2013020641, TBL, v
2013020641, EDM, h
2013020642, VAN, v
2013020642, ANA, h
2013020643, DAL, v
2013020643, NYI, h
2013020644, CBJ, v
2013020644, NYR, h
2013020645, FLA, v
2013020645, MTL, h
2013020646, CGY, v
2013020646, COL, h
2013020647, CAR, v
2013020647, BUF, h
2013020648, NYI, v
2013020648, TOR, h
2013020649, PHI, v
2013020649, NJD, h
2013020650, SJS, v
2013020650, NSH, h
2013020651, TBL, v
2013020651, WPG, h
2013020652, CGY, v
2013020652, PHX, h
2013020653, STL, v
2013020653, EDM, h
2013020654, PIT, v
2013020654, VAN, h
2013020655, BOS, v
2013020655, ANA, h
2013020656, MIN, v
2013020656, LAK, h
2013020657, MTL, v
2013020657, PHI, h
2013020658, NYR, v
2013020658, CHI, h
2013020659, OTT, v
2013020659, COL, h
2013020660, FLA, v
2013020660, BUF, h
2013020661, DAL, v
2013020661, NJD, h
2013020662, TOR, v
2013020662, CAR, h
2013020663, WSH, v
2013020663, TBL, h
2013020664, ANA, v
2013020664, NSH, h
2013020665, STL, v
2013020665, CGY, h
2013020666, MIN, v
2013020666, PHX, h
2013020667, BOS, v
2013020667, LAK, h
2013020668, DET, v
2013020668, SJS, h
2013020669, DAL, v
2013020669, NYR, h
2013020670, TOR, v
2013020670, WSH, h
2013020671, CAR, v
2013020671, CBJ, h
2013020672, NYI, v
2013020672, COL, h
2013020673, PIT, v
2013020673, EDM, h
2013020674, STL, v
2013020674, VAN, h
2013020675, TBL, v
2013020675, PHI, h
2013020676, CHI, v
2013020676, MTL, h
2013020677, FLA, v
2013020677, NJD, h
2013020678, OTT, v
2013020678, NSH, h
2013020679, CBJ, v
2013020679, WPG, h
